id,title,authors,publisher,publication_date,isbn,language,genre,description,price,available,keywords
12,Mysterious Ways,Michael Brown,Penguin Books,2012-01-13,978-0-938214-12-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,63.2,True,"science, technology, future, AI"
13,Silent Echoes,Emily Davis,Random House,2013-02-14,978-0-938214-13-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,64.3,False,"history, war, politics, economy"
14,Burning Skies,Chris Johnson,Simon & Schuster,2014-03-15,978-0-938214-14-4,Italian,Thriller,The sky burns with untold secrets.,65.4,True,"romance, love, passion, drama"
15,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2015-04-16,978-0-938214-15-5,French,Fiction,Summer brother yeah quickly role compare exist.,66.5,False,"college, eat, trade, produce, day"
16,Deep Space,"John Doe, Alice Smith",HarperCollins,2016-05-17,978-0-938214-16-6,English,Mystery,A thrilling adventure through time and space.,67.6,True,"mystery, adventure, book, fantasy"
17,Mysterious Ways,Michael Brown,Penguin Books,2017-06-18,978-0-938214-17-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,68.7,False,"science, technology, future, AI"
18,Silent Echoes,Emily Davis,Random House,2018-07-19,978-0-938214-18-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,69.8,True,"history, war, politics, economy"
19,Burning Skies,Chris Johnson,Simon & Schuster,2019-08-20,978-0-938214-19-9,Italian,Thriller,The sky burns with untold secrets.,70.9,False,"romance, love, passion, drama"
20,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2020-09-21,978-0-938214-20-0,French,Fiction,Summer brother yeah quickly role compare exist.,72.0,True,"college, eat, trade, produce, day"
21,Deep Space,"John Doe, Alice Smith",HarperCollins,2021-10-22,978-0-938214-21-1,English,Mystery,A thrilling adventure through time and space.,73.1,False,"mystery, adventure, book, fantasy"
22,Mysterious Ways,Michael Brown,Penguin Books,2022-11-23,978-0-938214-22-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,74.2,True,"science, technology, future, AI"
23,Silent Echoes,Emily Davis,Random House,2023-12-24,978-0-938214-23-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,75.3,False,"history, war, politics, economy"
24,Burning Skies,Chris Johnson,Simon & Schuster,2024-01-25,978-0-938214-24-4,Italian,Thriller,The sky burns with untold secrets.,76.4,True,"romance, love, passion, drama"
25,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2000-02-26,978-0-938214-25-5,French,Fiction,Summer brother yeah quickly role compare exist.,77.5,False,"college, eat, trade, produce, day"
26,Deep Space,"John Doe, Alice Smith",HarperCollins,2001-03-27,978-0-938214-26-6,English,Mystery,A thrilling adventure through time and space.,78.6,True,"mystery, adventure, book, fantasy"
27,Mysterious Ways,Michael Brown,Penguin Books,2002-04-28,978-0-938214-27-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,79.7,False,"science, technology, future, AI"
28,Silent Echoes,Emily Davis,Random House,2003-05-01,978-0-938214-28-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,80.8,True,"history, war, politics, economy"
29,Burning Skies,Chris Johnson,Simon & Schuster,2004-06-02,978-0-938214-29-9,Italian,Thriller,The sky burns with untold secrets.,81.9,False,"romance, love, passion, drama"
30,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2005-07-03,978-0-938214-30-0,French,Fiction,Summer brother yeah quickly role compare exist.,83.0,True,"college, eat, trade, produce, day"
31,Deep Space,"John Doe, Alice Smith",HarperCollins,2006-08-04,978-0-938214-31-1,English,Mystery,A thrilling adventure through time and space.,84.1,False,"mystery, adventure, book, fantasy"
32,Mysterious Ways,Michael Brown,Penguin Books,2007-09-05,978-0-938214-32-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,85.2,True,"science, technology, future, AI"
33,Silent Echoes,Emily Davis,Random House,2008-10-06,978-0-938214-33-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,86.3,False,"history, war, politics, economy"
34,Burning Skies,Chris Johnson,Simon & Schuster,2009-11-07,978-0-938214-34-4,Italian,Thriller,The sky burns with untold secrets.,87.4,True,"romance, love, passion, drama"
35,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2010-12-08,978-0-938214-35-5,French,Fiction,Summer brother yeah quickly role compare exist.,88.5,False,"college, eat, trade, produce, day"
36,Deep Space,"John Doe, Alice Smith",HarperCollins,2011-01-09,978-0-938214-36-6,English,Mystery,A thrilling adventure through time and space.,89.6,True,"mystery, adventure, book, fantasy"
37,Mysterious Ways,Michael Brown,Penguin Books,2012-02-10,978-0-938214-37-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,90.7,False,"science, technology, future, AI"
38,Silent Echoes,Emily Davis,Random House,2013-03-11,978-0-938214-38-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,91.8,True,"history, war, politics, economy"
39,Burning Skies,Chris Johnson,Simon & Schuster,2014-04-12,978-0-938214-39-9,Italian,Thriller,The sky burns with untold secrets.,92.9,False,"romance, love, passion, drama"
40,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2015-05-13,978-0-938214-40-0,French,Fiction,Summer brother yeah quickly role compare exist.,94.0,True,"college, eat, trade, produce, day"
41,Deep Space,"John Doe, Alice Smith",HarperCollins,2016-06-14,978-0-938214-41-1,English,Mystery,A thrilling adventure through time and space.,95.1,False,"mystery, adventure, book, fantasy"
42,Mysterious Ways,Michael Brown,Penguin Books,2017-07-15,978-0-938214-42-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,96.2,True,"science, technology, future, AI"
43,Silent Echoes,Emily Davis,Random House,2018-08-16,978-0-938214-43-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,97.3,False,"history, war, politics, economy"
44,Burning Skies,Chris Johnson,Simon & Schuster,2019-09-17,978-0-938214-44-4,Italian,Thriller,The sky burns with untold secrets.,98.4,True,"romance, love, passion, drama"
45,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2020-10-18,978-0-938214-45-5,French,Fiction,Summer brother yeah quickly role compare exist.,99.5,False,"college, eat, trade, produce, day"
46,Deep Space,"John Doe, Alice Smith",HarperCollins,2021-11-19,978-0-938214-46-6,English,Mystery,A thrilling adventure through time and space.,100.6,True,"mystery, adventure, book, fantasy"
47,Mysterious Ways,Michael Brown,Penguin Books,2022-12-20,978-0-938214-47-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,101.7,False,"science, technology, future, AI"
48,Silent Echoes,Emily Davis,Random House,2023-01-21,978-0-938214-48-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,102.8,True,"history, war, politics, economy"
49,Burning Skies,Chris Johnson,Simon & Schuster,2024-02-22,978-0-938214-49-9,Italian,Thriller,The sky burns with untold secrets.,103.9,False,"romance, love, passion, drama"
50,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2000-03-23,978-0-938214-50-0,French,Fiction,Summer brother yeah quickly role compare exist.,55.0,True,"college, eat, trade, produce, day"
51,Deep Space,"John Doe, Alice Smith",HarperCollins,2001-04-24,978-0-938214-51-1,English,Mystery,A thrilling adventure through time and space.,56.1,False,"mystery, adventure, book, fantasy"
52,Mysterious Ways,Michael Brown,Penguin Books,2002-05-25,978-0-938214-52-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,57.2,True,"science, technology, future, AI"
53,Silent Echoes,Emily Davis,Random House,2003-06-26,978-0-938214-53-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,58.3,False,"history, war, politics, economy"
54,Burning Skies,Chris Johnson,Simon & Schuster,2004-07-27,978-0-938214-54-4,Italian,Thriller,The sky burns with untold secrets.,59.4,True,"romance, love, passion, drama"
55,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2005-08-28,978-0-938214-55-5,French,Fiction,Summer brother yeah quickly role compare exist.,60.5,False,"college, eat, trade, produce, day"
56,Deep Space,"John Doe, Alice Smith",HarperCollins,2006-09-01,978-0-938214-56-6,English,Mystery,A thrilling adventure through time and space.,61.6,True,"mystery, adventure, book, fantasy"
57,Mysterious Ways,Michael Brown,Penguin Books,2007-10-02,978-0-938214-57-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,62.7,False,"science, technology, future, AI"
58,Silent Echoes,Emily Davis,Random House,2008-11-03,978-0-938214-58-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,63.8,True,"history, war, politics, economy"
59,Burning Skies,Chris Johnson,Simon & Schuster,2009-12-04,978-0-938214-59-9,Italian,Thriller,The sky burns with untold secrets.,64.9,False,"romance, love, passion, drama"
60,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2010-01-05,978-0-938214-60-0,French,Fiction,Summer brother yeah quickly role compare exist.,66.0,True,"college, eat, trade, produce, day"
61,Deep Space,"John Doe, Alice Smith",HarperCollins,2011-02-06,978-0-938214-61-1,English,Mystery,A thrilling adventure through time and space.,67.1,False,"mystery, adventure, book, fantasy"
62,Mysterious Ways,Michael Brown,Penguin Books,2012-03-07,978-0-938214-62-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,68.2,True,"science, technology, future, AI"
63,Silent Echoes,Emily Davis,Random House,2013-04-08,978-0-938214-63-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,69.3,False,"history, war, politics, economy"
64,Burning Skies,Chris Johnson,Simon & Schuster,2014-05-09,978-0-938214-64-4,Italian,Thriller,The sky burns with untold secrets.,70.4,True,"romance, love, passion, drama"
65,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2015-06-10,978-0-938214-65-5,French,Fiction,Summer brother yeah quickly role compare exist.,71.5,False,"college, eat, trade, produce, day"
66,Deep Space,"John Doe, Alice Smith",HarperCollins,2016-07-11,978-0-938214-66-6,English,Mystery,A thrilling adventure through time and space.,72.6,True,"mystery, adventure, book, fantasy"
67,Mysterious Ways,Michael Brown,Penguin Books,2017-08-12,978-0-938214-67-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,73.7,False,"science, technology, future, AI"
68,Silent Echoes,Emily Davis,Random House,2018-09-13,978-0-938214-68-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,74.8,True,"history, war, politics, economy"
69,Burning Skies,Chris Johnson,Simon & Schuster,2019-10-14,978-0-938214-69-9,Italian,Thriller,The sky burns with untold secrets.,75.9,False,"romance, love, passion, drama"
70,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2020-11-15,978-0-938214-70-0,French,Fiction,Summer brother yeah quickly role compare exist.,77.0,True,"college, eat, trade, produce, day"
71,Deep Space,"John Doe, Alice Smith",HarperCollins,2021-12-16,978-0-938214-71-1,English,Mystery,A thrilling adventure through time and space.,78.1,False,"mystery, adventure, book, fantasy"
72,Mysterious Ways,Michael Brown,Penguin Books,2022-01-17,978-0-938214-72-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,79.2,True,"science, technology, future, AI"
73,Silent Echoes,Emily Davis,Random House,2023-02-18,978-0-938214-73-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,80.3,False,"history, war, politics, economy"
74,Burning Skies,Chris Johnson,Simon & Schuster,2024-03-19,978-0-938214-74-4,Italian,Thriller,The sky burns with untold secrets.,81.4,True,"romance, love, passion, drama"
75,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2000-04-20,978-0-938214-75-5,French,Fiction,Summer brother yeah quickly role compare exist.,82.5,False,"college, eat, trade, produce, day"
76,Deep Space,"John Doe, Alice Smith",HarperCollins,2001-05-21,978-0-938214-76-6,English,Mystery,A thrilling adventure through time and space.,83.6,True,"mystery, adventure, book, fantasy"
77,Mysterious Ways,Michael Brown,Penguin Books,2002-06-22,978-0-938214-77-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,84.7,False,"science, technology, future, AI"
78,Silent Echoes,Emily Davis,Random House,2003-07-23,978-0-938214-78-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,85.8,True,"history, war, politics, economy"
79,Burning Skies,Chris Johnson,Simon & Schuster,2004-08-24,978-0-938214-79-9,Italian,Thriller,The sky burns with untold secrets.,86.9,False,"romance, love, passion, drama"
80,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2005-09-25,978-0-938214-80-0,French,Fiction,Summer brother yeah quickly role compare exist.,88.0,True,"college, eat, trade, produce, day"
81,Deep Space,"John Doe, Alice Smith",HarperCollins,2006-10-26,978-0-938214-81-1,English,Mystery,A thrilling adventure through time and space.,89.1,False,"mystery, adventure, book, fantasy"
82,Mysterious Ways,Michael Brown,Penguin Books,2007-11-27,978-0-938214-82-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,90.2,True,"science, technology, future, AI"
83,Silent Echoes,Emily Davis,Random House,2008-12-28,978-0-938214-83-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,91.3,False,"history, war, politics, economy"
84,Burning Skies,Chris Johnson,Simon & Schuster,2009-01-01,978-0-938214-84-4,Italian,Thriller,The sky burns with untold secrets.,92.4,True,"romance, love, passion, drama"
85,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2010-02-02,978-0-938214-85-5,French,Fiction,Summer brother yeah quickly role compare exist.,93.5,False,"college, eat, trade, produce, day"
86,Deep Space,"John Doe, Alice Smith",HarperCollins,2011-03-03,978-0-938214-86-6,English,Mystery,A thrilling adventure through time and space.,94.6,True,"mystery, adventure, book, fantasy"
87,Mysterious Ways,Michael Brown,Penguin Books,2012-04-04,978-0-938214-87-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,95.7,False,"science, technology, future, AI"
88,Silent Echoes,Emily Davis,Random House,2013-05-05,978-0-938214-88-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,96.8,True,"history, war, politics, economy"
89,Burning Skies,Chris Johnson,Simon & Schuster,2014-06-06,978-0-938214-89-9,Italian,Thriller,The sky burns with untold secrets.,97.9,False,"romance, love, passion, drama"
90,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2015-07-07,978-0-938214-90-0,French,Fiction,Summer brother yeah quickly role compare exist.,99.0,True,"college, eat, trade, produce, day"
91,Deep Space,"John Doe, Alice Smith",HarperCollins,2016-08-08,978-0-938214-91-1,English,Mystery,A thrilling adventure through time and space.,100.1,False,"mystery, adventure, book, fantasy"
92,Mysterious Ways,Michael Brown,Penguin Books,2017-09-09,978-0-938214-92-2,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,101.2,True,"science, technology, future, AI"
93,Silent Echoes,Emily Davis,Random House,2018-10-10,978-0-938214-93-3,German,Non-Fiction,Echoes of silence fill the vast emptiness.,102.3,False,"history, war, politics, economy"
94,Burning Skies,Chris Johnson,Simon & Schuster,2019-11-11,978-0-938214-94-4,Italian,Thriller,The sky burns with untold secrets.,103.4,True,"romance, love, passion, drama"
95,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2020-12-12,978-0-938214-95-5,French,Fiction,Summer brother yeah quickly role compare exist.,104.5,False,"college, eat, trade, produce, day"
96,Deep Space,"John Doe, Alice Smith",HarperCollins,2021-01-13,978-0-938214-96-6,English,Mystery,A thrilling adventure through time and space.,105.6,True,"mystery, adventure, book, fantasy"
97,Mysterious Ways,Michael Brown,Penguin Books,2022-02-14,978-0-938214-97-7,Spanish,Science Fiction,A deep dive into the mysteries of the universe.,106.7,False,"science, technology, future, AI"
98,Silent Echoes,Emily Davis,Random House,2023-03-15,978-0-938214-98-8,German,Non-Fiction,Echoes of silence fill the vast emptiness.,107.8,True,"history, war, politics, economy"
99,Burning Skies,Chris Johnson,Simon & Schuster,2024-04-16,978-0-938214-99-9,Italian,Thriller,The sky burns with untold secrets.,108.9,False,"romance, love, passion, drama"
100,Record tough.,"Sandra Rios, Kate","Day, Chan and Taylor",2000-05-17,978-0-938214-100-0,French,Fiction,Summer brother yeah quickly role compare exist.,60.0,True,"college, eat, trade, produce, day"
